模板编号,字段编号,字段名称,设备上下文,字典位置,本站规则位置,来源状态,模板通用规则,本站备注位置
DJ-01,J001,报告年份,,../../数据字典/字段字典.json#/fields/J001,填写规则.json#/fields/J001,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J001,字段取数配置.json#/profiles/DJ-01/field_notes/J001
DJ-01,J002,报告周期,,../../数据字典/字段字典.json#/fields/J002,填写规则.json#/fields/J002,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J002,字段取数配置.json#/profiles/DJ-01/field_notes/J002
DJ-01,J003,电站资料编码,,../../数据字典/字段字典.json#/fields/J003,填写规则.json#/fields/J003,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J003,字段取数配置.json#/profiles/DJ-01/field_notes/J003
DJ-01,J004,电站名称,,../../数据字典/字段字典.json#/fields/J004,填写规则.json#/fields/J004,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J004,字段取数配置.json#/profiles/DJ-01/field_notes/J004
DJ-01,J005,定检日期,,../../数据字典/字段字典.json#/fields/J005,填写规则.json#/fields/J005,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J005,字段取数配置.json#/profiles/DJ-01/field_notes/J005
DJ-01,J006,定检员签认位,,../../数据字典/字段字典.json#/fields/J006,填写规则.json#/fields/J006,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J006,字段取数配置.json#/profiles/DJ-01/field_notes/J006
DJ-01,J007,编制人签认位,,../../数据字典/字段字典.json#/fields/J007,填写规则.json#/fields/J007,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J007,字段取数配置.json#/profiles/DJ-01/field_notes/J007
DJ-01,J008,审核人签认位,,../../数据字典/字段字典.json#/fields/J008,填写规则.json#/fields/J008,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J008,字段取数配置.json#/profiles/DJ-01/field_notes/J008
DJ-01,J009,批准人签认位,,../../数据字典/字段字典.json#/fields/J009,填写规则.json#/fields/J009,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J009,字段取数配置.json#/profiles/DJ-01/field_notes/J009
DJ-01,J010,报告出具单位,,../../数据字典/字段字典.json#/fields/J010,填写规则.json#/fields/J010,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J010,字段取数配置.json#/profiles/DJ-01/field_notes/J010
DJ-01,J011,并网容量,,../../数据字典/字段字典.json#/fields/J011,填写规则.json#/fields/J011,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J011,字段取数配置.json#/profiles/DJ-01/field_notes/J011
DJ-01,J012,并网电压,,../../数据字典/字段字典.json#/fields/J012,填写规则.json#/fields/J012,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J012,字段取数配置.json#/profiles/DJ-01/field_notes/J012
DJ-01,J013,并网时间,,../../数据字典/字段字典.json#/fields/J013,填写规则.json#/fields/J013,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J013,字段取数配置.json#/profiles/DJ-01/field_notes/J013
DJ-01,J014,定检参与人员,,../../数据字典/字段字典.json#/fields/J014,填写规则.json#/fields/J014,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J014,字段取数配置.json#/profiles/DJ-01/field_notes/J014
DJ-01,J015,本次定检依据,,../../数据字典/字段字典.json#/fields/J015,填写规则.json#/fields/J015,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J015,字段取数配置.json#/profiles/DJ-01/field_notes/J015
DJ-01,J016,本次使用仪器,,../../数据字典/字段字典.json#/fields/J016,填写规则.json#/fields/J016,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J016,字段取数配置.json#/profiles/DJ-01/field_notes/J016
DJ-01,J017,安全工器具及其他,,../../数据字典/字段字典.json#/fields/J017,填写规则.json#/fields/J017,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J017,字段取数配置.json#/profiles/DJ-01/field_notes/J017
DJ-01,J018,安全措施,,../../数据字典/字段字典.json#/fields/J018,填写规则.json#/fields/J018,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J018,字段取数配置.json#/profiles/DJ-01/field_notes/J018
DJ-01,J019,注意事项,,../../数据字典/字段字典.json#/fields/J019,填写规则.json#/fields/J019,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J019,字段取数配置.json#/profiles/DJ-01/field_notes/J019
DJ-01,J020,工作量序号,,../../数据字典/字段字典.json#/fields/J020,填写规则.json#/fields/J020,本地历史位置已登记；外部取数未绑定,../../模板/DJ-01/通用取值规则.json#/fields/J020,字段取数配置.json#/profiles/DJ-01/field_notes/J020
