字段编号,需填写内容,标准位置,字典位置,取数方式,建议分类,六个月观察,业务确认,待核问题,本站填写规则,模板通用规则,本站备注位置
F001,电站名称,封面P6,../../数据字典/字段字典.json#/fields/F001,station_profile,电站档案,六个月未变,待确认,本站全称、简称、正文名称/容量的正式口径是什么？是否允许多种名称？,填写规则.json#/fields/F001,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F001,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F001
F002,报告年份,封面P7、P22,../../数据字典/字段字典.json#/fields/F002,request,报告期间,六个月未变,待确认,报告年月与统计截止日如何确定？,填写规则.json#/fields/F002,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F002,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F002
F003,报告月份,封面P7、P22,../../数据字典/字段字典.json#/fields/F003,request,报告期间,观察到变化,待确认,报告年月与统计截止日如何确定？,填写规则.json#/fields/F003,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F003,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F003
F004,当月总发电量,正文P32,../../数据字典/字段字典.json#/fields/F004,local_history_replay,当期指标或记录,观察到变化,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F004,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F004,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F004
F005,当月消纳电量,表1R3C1,../../数据字典/字段字典.json#/fields/F005,local_history_replay,当期指标或记录,观察到变化,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F005,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F005,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F005
F006,当月上网电量,表1R3C2,../../数据字典/字段字典.json#/fields/F006,local_history_replay,当期指标或记录,观察到变化,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F006,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F006,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F006
F007,当月站用电量,表1R3C3,../../数据字典/字段字典.json#/fields/F007,local_history_replay,当期指标或记录,观察到变化,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F007,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F007,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F007
F008,当月满发小时,表1R3C4,../../数据字典/字段字典.json#/fields/F008,local_history_replay,当期指标或记录,观察到变化,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F008,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F008,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F008
F009,当月累计辐照,表1R3C5,../../数据字典/字段字典.json#/fields/F009,local_history_replay,当期指标或记录,观察到变化,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F009,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F009,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F009
F010,当月受累损失电量,表1R3C6,../../数据字典/字段字典.json#/fields/F010,local_history_replay,当期指标或记录,观察到变化,待确认,数据来源、单位和统计范围是什么？与正文/表格重复位置如何核对？,填写规则.json#/fields/F010,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F010,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F010
F011,累计发电量,正文P32,../../数据字典/字段字典.json#/fields/F011,local_history_replay,累计指标,观察到变化,待确认,首年累计、当年累计的范围如何统一？重复位置是否必须完全一致？,填写规则.json#/fields/F011,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F011,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F011
F012,累计满发小时,正文P32；正文P37,../../数据字典/字段字典.json#/fields/F012,local_history_replay,累计指标,观察到变化,待确认,首年累计、当年累计的范围如何统一？重复位置是否必须完全一致？,填写规则.json#/fields/F012,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F012,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F012
F013,可研完成率,正文P32；正文P37,../../数据字典/字段字典.json#/fields/F013,local_history_replay,累计指标,观察到变化,待确认,首年累计、当年累计的范围如何统一？重复位置是否必须完全一致？,填写规则.json#/fields/F013,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F013,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F013
F014,年度可研小时,正文P32；正文P37,../../数据字典/字段字典.json#/fields/F014,local_history_replay,年度配置,六个月未变,待确认,可研小时按哪份文件和哪个年度生效？,填写规则.json#/fields/F014,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F014,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F014
F015,装机容量,正文P34,../../数据字典/字段字典.json#/fields/F015,local_history_replay,电站档案,六个月未变,待确认,本站全称、简称、正文名称/容量的正式口径是什么？是否允许多种名称？,填写规则.json#/fields/F015,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F015,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F015
F016,运行数据分析,正文P49—P49,../../数据字典/字段字典.json#/fields/F016,local_history_replay,当月事实文字,观察到变化,待确认,相同文字是否对应当月实际工作？无记录时应写无还是待补？,填写规则.json#/fields/F016,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F016,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F016
F017,故障处理情况,正文P52—P52,../../数据字典/字段字典.json#/fields/F017,local_history_replay,当月事实文字,六个月未变,待确认,相同文字是否对应当月实际工作？无记录时应写无还是待补？,填写规则.json#/fields/F017,../../模板/NW-MONTHLY-STD-01/通用取值规则.json#/fields/F017,字段取数配置.json#/profiles/NW-MONTHLY-STD-01/field_notes/F017
