字段编号,字段名称,字段类型,单位,建议分类,标准填写位置,字典键
F001,电站名称,单值,文本/见原文,电站档案,封面P6,/fields/F001
F002,报告年份,单值,文本/见原文,报告期间,封面P7、P22,/fields/F002
F003,报告月份,单值,文本/见原文,报告期间,封面P7、P22,/fields/F003
F004,当月总发电量,单值,万kWh,当期指标或记录,正文P32,/fields/F004
F005,当月消纳电量,单值,万kWh,当期指标或记录,表1R3C1,/fields/F005
F006,当月上网电量,单值,万kWh,当期指标或记录,表1R3C2,/fields/F006
F007,当月站用电量,单值,万kWh,当期指标或记录,表1R3C3,/fields/F007
F008,当月满发小时,单值,小时,当期指标或记录,表1R3C4,/fields/F008
F009,当月累计辐照,单值,kWh/㎡,当期指标或记录,表1R3C5,/fields/F009
F010,当月受累损失电量,单值,万kWh,当期指标或记录,表1R3C6,/fields/F010
F011,累计发电量,单值,万kWh,累计指标,正文P32,/fields/F011
F012,累计满发小时,单值,小时,累计指标,正文P32；正文P37,/fields/F012
F013,可研完成率,单值,%,累计指标,正文P32；正文P37,/fields/F013
F014,年度可研小时,单值,小时,年度配置,正文P32；正文P37,/fields/F014
F015,装机容量,单值,MW,电站档案,正文P34,/fields/F015
F016,运行数据分析,单值,文本/见原文,当月事实文字,正文P49—P49,/fields/F016
F017,故障处理情况,单值,文本/见原文,当月事实文字,正文P52—P52,/fields/F017
F018,本月设备故障损失电量,单值,kWh,当期指标或记录,正文P54,/fields/F018
F019,累计受累损失电量,单值,万kWh,累计指标,正文P54,/fields/F019
F020,累计设备故障损失电量,单值,kWh,累计指标,正文P54,/fields/F020
F021,安全学习培训情况,单值,文本/见原文,当月事实文字,正文P58—P61,/fields/F021
F022,低压电工应取证人数,单值,人,月末人员状态,表7R2C3,/fields/F022
F023,低压电工已取证人数,单值,人,月末人员状态,表7R2C4,/fields/F023
F024,低压电工取证进展,单值,文本/见原文,月末人员状态,表7R2C5,/fields/F024
F025,高压电工应取证人数,单值,人,月末人员状态,表7R3C3,/fields/F025
F026,高压电工已取证人数,单值,人,月末人员状态,表7R3C4,/fields/F026
F027,高压电工取证进展,单值,文本/见原文,月末人员状态,表7R3C5,/fields/F027
F028,调度受令应取证人数,单值,人,月末人员状态,表7R4C3,/fields/F028
F029,调度受令已取证人数,单值,人,月末人员状态,表7R4C4,/fields/F029
F030,调度受令取证进展,单值,文本/见原文,月末人员状态,表7R4C5,/fields/F030
F031,电气一种票收票数,单值,文本/见原文,月度票据统计,表8R2C3,/fields/F031
F032,电气一种票合格数,单值,文本/见原文,月度票据统计,表8R2C4,/fields/F032
F033,电气一种票不合格数,单值,文本/见原文,月度票据统计,表8R2C5,/fields/F033
F034,电气一种票合格率,单值,文本/见原文,月度票据统计,表8R2C6,/fields/F034
F035,电气一种票备注,单值,文本/见原文,月度票据统计,表8R2C7,/fields/F035
F036,电气二种票收票数,单值,文本/见原文,月度票据统计,表8R3C3,/fields/F036
F037,电气二种票合格数,单值,文本/见原文,月度票据统计,表8R3C4,/fields/F037
F038,电气二种票不合格数,单值,文本/见原文,月度票据统计,表8R3C5,/fields/F038
F039,电气二种票合格率,单值,文本/见原文,月度票据统计,表8R3C6,/fields/F039
F040,电气二种票备注,单值,文本/见原文,月度票据统计,表8R3C7,/fields/F040
F041,书面布置作业票收票数,单值,文本/见原文,月度票据统计,表8R4C3,/fields/F041
F042,书面布置作业票合格数,单值,文本/见原文,月度票据统计,表8R4C4,/fields/F042
F043,书面布置作业票不合格数,单值,文本/见原文,月度票据统计,表8R4C5,/fields/F043
F044,书面布置作业票合格率,单值,文本/见原文,月度票据统计,表8R4C6,/fields/F044
F045,书面布置作业票备注,单值,文本/见原文,月度票据统计,表8R4C7,/fields/F045
F046,电气操作票收票数,单值,文本/见原文,月度票据统计,表8R5C3,/fields/F046
F047,电气操作票合格数,单值,文本/见原文,月度票据统计,表8R5C4,/fields/F047
F048,电气操作票不合格数,单值,文本/见原文,月度票据统计,表8R5C5,/fields/F048
F049,电气操作票合格率,单值,文本/见原文,月度票据统计,表8R5C6,/fields/F049
F050,电气操作票备注,单值,文本/见原文,月度票据统计,表8R5C7,/fields/F050
F051,电站简称,单值,文本/见原文,电站档案,运行概况P32,/fields/F051
F052,发电量台账·月份,循环列,月,当期指标或记录,表2数据行R2起／月份,/fields/F052
F053,发电量台账·实际容量,循环列,MWp,当期指标或记录,表2数据行R2起／实际容量,/fields/F053
F054,发电量台账·月实际发电量,循环列,kWh,当期指标或记录,表2数据行R2起／月实际发电量,/fields/F054
F055,发电量台账·月核减电量,循环列,kWh,当期指标或记录,表2数据行R2起／月核减电量,/fields/F055
F056,发电量台账·月辐照量,循环列,KW-h/m²（原文）,当期指标或记录,表2数据行R2起／月辐照量,/fields/F056
F057,发电量台账·月等效利用小时数,循环列,H,当期指标或记录,表2数据行R2起／月等效利用小时数,/fields/F057
F058,发电量台账·月站用电量,循环列,kWh,当期指标或记录,表2数据行R2起／月站用电量,/fields/F058
F059,月度作业计划·序号,循环列,序号,记录派生,表3数据行R2起／序号,/fields/F059
F060,月度作业计划·工作内容,循环列,文本/见原文,当期工作记录,表3数据行R2起／工作内容,/fields/F060
F061,月度作业计划·主要风险点,循环列,文本/见原文,当期工作记录,表3数据行R2起／主要风险点,/fields/F061
F062,月度作业计划·作业风险等级,循环列,文本/见原文,当期工作记录,表3数据行R2起／作业风险等级,/fields/F062
F063,月度作业计划·现场管控措施,循环列,文本/见原文,当期工作记录,表3数据行R2起／现场管控措施,/fields/F063
F064,本月工作总结·序号,循环列,序号,记录派生,表4数据行R2起／序号,/fields/F064
F065,本月工作总结·一级类别,循环列,文本/见原文,当期工作记录,表4数据行R2起／一级类别,/fields/F065
F066,本月工作总结·二级类别,循环列,文本/见原文,当期工作记录,表4数据行R2起／二级类别,/fields/F066
F067,本月工作总结·工作内容,循环列,文本/见原文,当期工作记录,表4数据行R2起／工作内容,/fields/F067
F068,下月工作计划·序号,循环列,序号,记录派生,表5数据行R2起／序号,/fields/F068
F069,下月工作计划·工作内容,循环列,文本/见原文,当期工作记录,表5数据行R2起／工作内容,/fields/F069
F070,需协助事项·序号,循环列,序号,记录派生,表5数据行R8起／序号,/fields/F070
F071,需协助事项·需协助事项,循环列,文本/见原文,当期工作记录,表5数据行R8起／需协助事项,/fields/F071
F072,发电损失记录·停电时间,循环列,日期/时段,当期指标或记录,表6数据行R2起／停电时间,/fields/F072
F073,发电损失记录·停电容量,循环列,kWp,当期指标或记录,表6数据行R2起／停电容量,/fields/F073
F074,发电损失记录·停电原因,循环列,文本,当期指标或记录,表6数据行R2起／停电原因,/fields/F074
F075,发电损失记录·损失电量,循环列,万kWh,当期指标或记录,表6数据行R2起／损失电量,/fields/F075
F076,隐患记录·序号,循环列,序号,记录派生,表9数据行R2起／序号,/fields/F076
F077,隐患记录·隐患描述,循环列,文本/见原文,当期工作记录,表9数据行R2起／隐患描述,/fields/F077
F078,隐患记录·措施完成,循环列,文本/见原文,当期工作记录,表9数据行R2起／措施完成,/fields/F078
F079,安全工器具检测记录·序号,循环列,序号,记录派生,表10数据行R2起／序号,/fields/F079
F080,安全工器具检测记录·编号,循环列,文本/见原文,工器具档案,表10数据行R2起／编号,/fields/F080
F081,安全工器具检测记录·名称,循环列,文本/见原文,工器具档案,表10数据行R2起／名称,/fields/F081
F082,安全工器具检测记录·型号与规格,循环列,文本/见原文,工器具档案,表10数据行R2起／型号与规格,/fields/F082
F083,安全工器具检测记录·制造厂家,循环列,文本/见原文,工器具档案,表10数据行R2起／制造厂家,/fields/F083
F084,安全工器具检测记录·试验日期,循环列,文本/见原文,检验状态,表10数据行R2起／试验日期,/fields/F084
F085,安全工器具检测记录·试验结果,循环列,文本/见原文,检验状态,表10数据行R2起／试验结果,/fields/F085
F086,安全工器具检测记录·下次检验时间,循环列,文本/见原文,检验状态,表10数据行R2起／下次检验时间,/fields/F086
F087,1.1正文电站名称,单值,文本,电站档案,1.1正文P34,/fields/F087
F088,运行概况受累电量说明,单值,文本,当期指标或记录,运行概况P32,/fields/F088
F089,发电损失表合计填写位置,单值,万kWh,损失汇总位置,表6合计行R3C3/C4,/fields/F089
F090,现场照片,图片,图片集合,现场照片,表11内嵌图片（仅比较原件，不是独立取图来源）,/fields/F090
